"('mid',)","('pid',)","('name',)"
tt0015864,nm0841501,Big Jim McKay
tt0015864,nm0615306,Black Larsen
tt0015864,nm0074788,Hank Curtis
tt0015864,nm0906618,Jack Cameron
tt0015864,nm0354913,Georgia
tt0015864,nm1033900,Man in Dance Hall
tt0015873,nm0178260,Self
tt0015873,nm0774325,Self
tt0015873,nm0365738,Self - a Journalist
tt0015873,nm0451221,Self - Chief of the Bakhtyari Tribe
tt0015881,nm0332998,McTeague
tt0015881,nm0686032,Trina
tt0015881,nm0380965,Marcus
tt0015881,nm0298202,Maria
tt0016004,nm0723658,Mrs. Erlynne
tt0016004,nm0564219,Lady Windermere
tt0016004,nm0529313,Lord Windermere
tt0016004,nm0172903,Lord Darlington
tt0016029,nm0000073,Lloyd Sherman
tt0016029,nm0000859,Colonel Lloyd
tt0016029,nm0892867,Elizabeth Sherman
tt0016029,nm0517099,Jack Sherman
tt0016039,nm0000891,Prof. Challenger
tt0016039,nm0522281,Paula White
tt0016039,nm0400763,Ed Malone
tt0016039,nm0832011,Sir John Roxton
tt0016104,nm0318105,Prince Danilo Petrovich
tt0016104,nm0615141,Sally O'Neal
tt0016104,nm0195460,Crown Prince Mirko
tt0016104,nm0189684,Queen Milena
tt0016123,nm0151606,Dr. Ziska
tt0016123,nm0647481,Betty Watson
tt0016123,nm0177599,Amos Rugg
tt0016123,nm0037783,Johnny Goodlittle
tt0016220,nm0151606,The Phantom
tt0016220,nm0679907,Christine Daae
tt0016220,nm0449908,Vicomte Raoul de Chagny
tt0016220,nm0136886,Ledoux
tt0016230,nm0885128,Patsy Brand
tt0016230,nm0313867,Jill Cheyne
tt0016230,nm0541766,Levet
tt0016230,nm0835738,Hugh Fielding
tt0016332,nm0000036,James Shannon
tt0016332,nm0245536,His Girl
tt0016332,nm0055797,His Partner
tt0016332,nm0250366,His Lawyer
tt0016473,nm0151606,Echo - The Ventriloquist
tt0016473,nm0123994,Rosie O'Grady
tt0016473,nm0601596,Hector McDonald
tt0016473,nm0572142,Hercules
tt0016481,nm0417837,Boss Huller
tt0016481,nm0217848,Frau Huller
tt0016481,nm0211048,Bertha-Marie
tt0016481,nm0911914,Artinelli
tt0016544,nm0245386,Dorothy
